"","p10","start.date","tmin","tmax","tave","precip","humidity","sunshine","wind_vel","wind_dir","max_gust","max_gust_dir"
"202",202,1991-07-04 07:00:00,22.42,31.26,26.24,0,81.7,6.58,2.1,"N ",NA,NA
"203",203,1991-07-14 07:00:00,22.55,31.98,26.38,2.3,82.8,6.87,2.22222222222222,"N ",NA,NA
"204",204,1991-07-24 07:00:00,23.38,32.49,27.14,0,82.4,7.54,3.2,"E ",NA,NA
"205",205,1991-08-03 07:00:00,22.65,31.95,26.6,0,81.2,7.13,3.2,"S ",NA,NA
"206",206,1991-08-13 07:00:00,22.68,31.92,26.56,0,80.3,7.27,3.5,"S ",NA,NA
"207",207,1991-08-23 07:00:00,22.65,31.21,26.38,8.5,84.8,6.17,2.77777777777778,"S ",NA,NA
"208",208,1991-09-02 07:00:00,22.83,32.44,26.86,0,80.4,7.09,2.75,"N ",9,100
"209",209,1991-09-12 07:00:00,22.18,32.4,26.46,1.5,80.5,6.42,3.5,"S ",9,180
"210",210,1991-09-22 07:00:00,23.16,32.17,26.93,0,80.5,4.71,3.2,"S ",8,180
"211",211,1991-10-02 07:00:00,23.7,31.71,26.7,3,85,3.14,2.44444444444444,"S ",5,170
"212",212,1991-10-12 07:00:00,22.62,30.61,25.73,42.2,88.2,3.51,2.28571428571429,"N ",8,180
"213",213,1991-10-22 07:00:00,23.36,31.3,26.81,17,84.9,5.78,1.66666666666667,"N ",5,80
"214",214,1991-11-01 07:00:00,23,30.75,26.12,196.555555555556,86.5,5.06,1.66666666666667,"N ",NA,NA
"215",215,1991-11-11 07:00:00,23.55,30.39,26.36,141.1,87.1,5.76,1.33333333333333,"N ",NA,NA
"216",216,1991-11-21 07:00:00,24.1,30.18,26.64,149.666666666667,87.8,3.89,1.125,"N ",NA,NA
"217",217,1991-12-01 07:00:00,23.82,29.21,25.84,279.4,90.4,2.38,1.57142857142857,"N ",NA,NA
"218",218,1991-12-11 07:00:00,23.76,30.74,26.92,136.1,85.7,5.11,1.33333333333333,"N ",NA,NA
"219",219,1991-12-21 07:00:00,23.8,29.63,26,299.5,89.5,2.77,NA,"N ",NA,NA
"220",220,1991-12-31 07:00:00,23.7,31.04,26.72,123.8,88.6,6.19,NA,"N ",NA,NA
"221",221,1992-01-10 07:00:00,23.74,30.69,26.69,70.4444444444444,90.1,4.86,NA,"N ",NA,NA
"222",222,1992-01-20 07:00:00,23.68,30.77,26.45,378.625,90.9,5.85,NA,"N ",NA,NA
"223",223,1992-01-30 07:00:00,24.1,30.62,26.6,118.8,87.7,5.39,NA,"N ",5,320
"224",224,1992-02-09 07:00:00,23.9,30.82,26.84,62.5,86.2,4.68,NA,"N ",5,200
"225",225,1992-02-19 07:00:00,23.72,30.66,26.7,120.9,86.3,4.89,1.33333333333333,"N ",4,360
"226",226,1992-02-29 07:00:00,23.84,30.78,26.71,61.8,87.1,4.45,NA,"N ",NA,NA
"227",227,1992-03-10 07:00:00,23.96,31.37,27.17,113,86.2,5.26,NA,"N ",NA,NA
"228",228,1992-03-20 07:00:00,24.22,30.69,26.56,128.3,90.6,3.94,NA,"N ",NA,NA
"229",229,1992-03-30 07:00:00,24.14,31.4,27.07,49.5,87.4,4.9,NA,"N ",NA,NA
"230",230,1992-04-09 07:00:00,24.1,31.86,27.33,15.1,86.5,4.88,NA,"N ",NA,NA
"231",231,1992-04-19 07:00:00,23.88,32.37,27.37,142.7,87.7,6.02,NA,"N ",NA,NA
