Nama Stasiun ,WMO ID,date,tmin,tmax,tave,humidity,precip,sunshine,wind_vel_mean,wind_dir,max_gust,max_gust_dir,precip_CP
Stasiun Meteorologi Rahadi Oesman,96615,26/01/1990,25.8,29.8,27.2,82,0,3.6,3,9999,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,27/01/1990,25.6,31.2,27.8,81,8.5,8,3,NW,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,28/01/1990,24.4,30.8,27.1,86,14,5.6,1,N ,9999,9999,2.5
Stasiun Meteorologi Rahadi Oesman,96615,29/01/1990,24.2,29.2,26.1,92,0.4,7,9999,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,30/01/1990,23.6,31.2,27.2,86,17.5,7.4,1,N ,9999,9999,7.4
Stasiun Meteorologi Rahadi Oesman,96615,31/01/1990,24,29.4,26.6,90,8,1.5,9999,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,1/2/1990,23.4,29.4,26.1,88,0,2.2,9999,N ,9999,9999,25
Stasiun Meteorologi Rahadi Oesman,96615,2/2/1990,23.8,31.6,27.1,84,69.6,7.4,1,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,3/2/1990,24,29,25.8,91,10.7,1.6,9999,N ,9999,9999,6
Stasiun Meteorologi Rahadi Oesman,96615,4/2/1990,24,30.2,26.7,84,0,5.5,2,N ,9999,9999,1.2
Stasiun Meteorologi Rahadi Oesman,96615,5/2/1990,24.2,32,27.5,84,0,7.4,9999,N ,9999,9999,9.6
Stasiun Meteorologi Rahadi Oesman,96615,6/2/1990,23,30.6,25.8,90,21.3,4.2,9999,N ,9999,9999,26
Stasiun Meteorologi Rahadi Oesman,96615,7/2/1990,23.6,29.8,25.5,93,84,1.7,9999,N ,9999,9999,42
Stasiun Meteorologi Rahadi Oesman,96615,8/2/1990,23.4,30.8,26,89,1.3,7,1,N ,9999,9999,1.6
Stasiun Meteorologi Rahadi Oesman,96615,9/2/1990,24,30.2,27.1,87,5.8,2.2,9999,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,10/2/1990,24.4,29.4,26.9,92,23.8,0.4,1,N ,9999,9999,3.2
Stasiun Meteorologi Rahadi Oesman,96615,11/2/1990,24.4,27.8,26.1,91,10.6,0.4,9999,N ,9999,9999,104
Stasiun Meteorologi Rahadi Oesman,96615,12/2/1990,23.2,30.6,26.3,86,12.8,3.6,9999,N ,9999,9999,4.5
Stasiun Meteorologi Rahadi Oesman,96615,13/02/1990,23.6,29.2,26.3,90,0.3,0.3,1,N ,9999,9999,13.7
Stasiun Meteorologi Rahadi Oesman,96615,14/02/1990,22.6,30.8,26.3,84,0,4.6,9999,N ,9999,9999,0.9
Stasiun Meteorologi Rahadi Oesman,96615,15/02/1990,23.8,30,26.5,91,41.9,4.1,9999,N ,9999,9999,22
Stasiun Meteorologi Rahadi Oesman,96615,16/02/1990,24,28.6,25.6,94,5,0,9999,N ,9999,9999,33.2
Stasiun Meteorologi Rahadi Oesman,96615,17/02/1990,23,30,26.1,87,17.5,5.1,1,N ,9999,9999,0.4
Stasiun Meteorologi Rahadi Oesman,96615,18/02/1990,24,30.8,26.2,92,41,1.1,9999,N ,9999,9999,20.8
Stasiun Meteorologi Rahadi Oesman,96615,19/02/1990,24,28.6,24.8,96,7.2,1,9999,N ,9999,9999,38.6
Stasiun Meteorologi Rahadi Oesman,96615,20/02/1990,23.6,30.6,26.7,85,0,4.1,9999,N ,9999,9999,2
Stasiun Meteorologi Rahadi Oesman,96615,21/02/1990,23,31.2,26.7,83,0.3,6.8,2,E ,9999,9999,1.1
Stasiun Meteorologi Rahadi Oesman,96615,22/02/1990,24.2,31,27.3,85,110.3,5.7,2,W ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,23/02/1990,24.2,29.8,26.9,85,0,7.4,2,N ,9999,9999,13.8
Stasiun Meteorologi Rahadi Oesman,96615,24/02/1990,23.8,31.6,27.6,84,38.4,6.2,2,NW,9999,9999,65
Stasiun Meteorologi Rahadi Oesman,96615,25/02/1990,24,30.8,26.7,87,13,3.6,1,N ,9999,9999,16.7
